Month,Lockdown
01-Jan,
02-Jan,
03-Jan,
04-Jan,
05-Jan,
06-Jan,
07-Jan,
08-Jan,
09-Jan,
10-Jan,
11-Jan,
12-Jan,
13-Jan,
14-Jan,
15-Jan,
16-Jan,
17-Jan,
18-Jan,
19-Jan,
20-Jan,
21-Jan,
22-Jan,
23-Jan,
24-Jan,
25-Jan,
26-Jan,
27-Jan,
28-Jan,
29-Jan,
30-Jan,
31-Jan,
01-Feb,
02-Feb,
03-Feb,
04-Feb,
05-Feb,
06-Feb,
07-Feb,
08-Feb,
09-Feb,
10-Feb,
11-Feb,
12-Feb,
13-Feb,
14-Feb,
15-Feb,
16-Feb,
17-Feb,
18-Feb,
19-Feb,
20-Feb,
21-Feb,
22-Feb,
23-Feb,
24-Feb,
25-Feb,
26-Feb,
27-Feb,
28-Feb,
29/02,
01-Mar,
02-Mar,
03-Mar,
04-Mar,
05-Mar,
06-Mar,
07-Mar,
08-Mar,
09-Mar,
10-Mar,
11-Mar,
12-Mar,
13-Mar,
14-Mar,
15-Mar,
16-Mar,
17-Mar,
18-Mar,
19-Mar,
20-Mar,
21-Mar,
22-Mar,
23-Mar,40
24-Mar,40
25-Mar,40
26-Mar,40
27-Mar,40
28-Mar,40
29-Mar,40
30-Mar,40
31-Mar,40
01-Apr,40
02-Apr,40
03-Apr,40
04-Apr,40
05-Apr,40
06-Apr,40
07-Apr,40
08-Apr,40
09-Apr,40
10-Apr,40
11-Apr,40
12-Apr,40
13-Apr,40
14-Apr,40
15-Apr,40
16-Apr,40
17-Apr,40
18-Apr,40
19-Apr,40
20-Apr,40
21-Apr,40
22-Apr,40
23-Apr,40
24-Apr,40
25-Apr,40
26-Apr,40
27-Apr,40
28-Apr,40
29-Apr,40
30-Apr,40
01-May,40
02-May,40
03-May,40
04-May,40
05-May,40
06-May,40
07-May,40
08-May,40
09-May,40
10-May,40
11-May,
12-May,
13-May,
14-May,
15-May,
16-May,
17-May,
18-May,
19-May,
20-May,
21-May,
22-May,
23-May,
24-May,
25-May,
26-May,
27-May,
28-May,
29-May,
30-May,
31-May,
01-Jun,
02-Jun,
03-Jun,
04-Jun,
05-Jun,
06-Jun,
07-Jun,
08-Jun,
09-Jun,
10-Jun,
11-Jun,
12-Jun,
13-Jun,
14-Jun,
15-Jun,
16-Jun,
17-Jun,
18-Jun,
19-Jun,
20-Jun,
21-Jun,
22-Jun,
23-Jun,
24-Jun,
25-Jun,
26-Jun,
27-Jun,
28-Jun,
29-Jun,
30-Jun,
01-Jul,
02-Jul,
03-Jul,
04-Jul,
05-Jul,
06-Jul,
07-Jul,
08-Jul,
09-Jul,
10-Jul,
11-Jul,
12-Jul,
13-Jul,
14-Jul,
15-Jul,
16-Jul,
17-Jul,
18-Jul,
19-Jul,
20-Jul,
21-Jul,
22-Jul,
23-Jul,
24-Jul,
25-Jul,
26-Jul,
27-Jul,
28-Jul,
29-Jul,
30-Jul,
31-Jul,
01-Aug,
02-Aug,
03-Aug,
04-Aug,
05-Aug,
06-Aug,
07-Aug,
08-Aug,
09-Aug,
10-Aug,
11-Aug,
12-Aug,
13-Aug,
14-Aug,
15-Aug,
16-Aug,
17-Aug,
18-Aug,
19-Aug,
20-Aug,
21-Aug,
22-Aug,
23-Aug,
24-Aug,
25-Aug,
26-Aug,
27-Aug,
28-Aug,
29-Aug,
30-Aug,
31-Aug,
01-Sep,
02-Sep,
03-Sep,
04-Sep,
05-Sep,
06-Sep,
07-Sep,
08-Sep,
09-Sep,
10-Sep,
11-Sep,
12-Sep,
13-Sep,
14-Sep,
15-Sep,
16-Sep,
17-Sep,
18-Sep,
19-Sep,
20-Sep,
21-Sep,
22-Sep,
23-Sep,
24-Sep,
25-Sep,
26-Sep,
27-Sep,
28-Sep,
29-Sep,
30-Sep,
01-Oct,
02-Oct,
03-Oct,
04-Oct,
05-Oct,
06-Oct,
07-Oct,
08-Oct,
09-Oct,
10-Oct,
11-Oct,
12-Oct,
13-Oct,
14-Oct,
15-Oct,
16-Oct,
17-Oct,
18-Oct,
19-Oct,
20-Oct,
21-Oct,
22-Oct,
23-Oct,
24-Oct,
26-Oct,
27-Oct,
28-Oct,
29-Oct,
30-Oct,
31-Oct,
01-Nov,
02-Nov,40
03-Nov,40
04-Nov,40
05-Nov,40
06-Nov,40
07-Nov,40
08-Nov,40
09-Nov,40
10-Nov,40
11-Nov,40
12-Nov,40
13-Nov,40
14-Nov,40
15-Nov,40
16-Nov,40
17-Nov,40
18-Nov,40
19-Nov,40
20-Nov,40
21-Nov,40
22-Nov,40
23-Nov,40
24-Nov,40
25-Nov,40
26-Nov,40
27-Nov,40
28-Nov,40
29-Nov,40
30-Nov,40
01-Dec,40
02-Dec,40
03-Dec,40
04-Dec,40
05-Dec,40
06-Dec,40
07-Dec,40
08-Dec,40
09-Dec,40
10-Dec,40
11-Dec,40
12-Dec,40
13-Dec,40
14-Dec,40
15-Dec,40
16-Dec,40
17-Dec,40
18-Dec,40
19-Dec,40
20-Dec,40
21-Dec,40
22-Dec,40
23-Dec,40
24-Dec,40
25-Dec,40
26-Dec,40
27-Dec,40
28-Dec,40
29-Dec,40
30-Dec,40
31-Dec,40
