Month,Lockdowns
01-Jan,
02-Jan,
03-Jan,
04-Jan,
05-Jan,
06-Jan,
07-Jan,
08-Jan,
09-Jan,
10-Jan,
11-Jan,
12-Jan,
13-Jan,
14-Jan,
15-Jan,
16-Jan,
17-Jan,
18-Jan,
19-Jan,
20-Jan,
21-Jan,
22-Jan,
23-Jan,
24-Jan,
25-Jan,
26-Jan,
27-Jan,
28-Jan,
29-Jan,
30-Jan,
31-Jan,
01-Feb,
02-Feb,
03-Feb,
04-Feb,
05-Feb,
06-Feb,
07-Feb,
08-Feb,
09-Feb,
10-Feb,
11-Feb,
12-Feb,
13-Feb,
14-Feb,
15-Feb,
16-Feb,
17-Feb,
18-Feb,
19-Feb,
20-Feb,
21-Feb,
22-Feb,
23-Feb,
24-Feb,
25-Feb,
26-Feb,
27-Feb,
28-Feb,
29/02,
01-Mar,
02-Mar,
03-Mar,
04-Mar,
05-Mar,
06-Mar,
07-Mar,
08-Mar,
09-Mar,
10-Mar,
11-Mar,
12-Mar,
13-Mar,
14-Mar,
15-Mar,
16-Mar,
17-Mar,
18-Mar,
19-Mar,
20-Mar,
21-Mar,
22-Mar,
23-Mar,55
24-Mar,55
25-Mar,55
26-Mar,55
27-Mar,55
28-Mar,55
29-Mar,55
31-Mar,55
01-Apr,55
02-Apr,55
03-Apr,55
04-Apr,55
05-Apr,55
06-Apr,55
07-Apr,55
08-Apr,55
09-Apr,55
10-Apr,55
11-Apr,55
12-Apr,55
13-Apr,55
14-Apr,55
15-Apr,55
16-Apr,55
17-Apr,55
18-Apr,55
19-Apr,55
20-Apr,55
21-Apr,55
22-Apr,55
23-Apr,55
24-Apr,55
25-Apr,55
26-Apr,55
27-Apr,55
28-Apr,55
29-Apr,55
30-Apr,55
01-May,55
02-May,55
03-May,55
04-May,55
05-May,55
06-May,55
07-May,55
08-May,55
09-May,55
10-May,55
11-May,55
12-May,55
13-May,55
14-May,55
15-May,55
16-May,55
17-May,55
18-May,55
19-May,55
20-May,55
21-May,55
22-May,55
23-May,55
24-May,55
25-May,55
26-May,55
27-May,55
28-May,55
29-May,55
30-May,55
31-May,55
01-Jun,55
02-Jun,55
03-Jun,55
04-Jun,55
05-Jun,55
06-Jun,55
07-Jun,55
08-Jun,55
09-Jun,55
10-Jun,55
11-Jun,55
12-Jun,55
13-Jun,55
14-Jun,55
15-Jun,55
16-Jun,55
17-Jun,55
18-Jun,55
19-Jun,55
20-Jun,55
21-Jun,55
22-Jun,55
23-Jun,55
24-Jun,55
25-Jun,55
26-Jun,55
27-Jun,55
28-Jun,55
29-Jun,55
30-Jun,55
01-Jul,55
02-Jul,55
03-Jul,55
04-Jul,55
05-Jul,
06-Jul,
07-Jul,
08-Jul,
09-Jul,
10-Jul,
11-Jul,
12-Jul,
13-Jul,
14-Jul,
15-Jul,
16-Jul,
17-Jul,
18-Jul,
19-Jul,
20-Jul,
21-Jul,
22-Jul,
23-Jul,
24-Jul,
25-Jul,
26-Jul,
27-Jul,
28-Jul,
29-Jul,
30-Jul,
31-Jul,
01-Aug,
02-Aug,
03-Aug,
04-Aug,
05-Aug,
06-Aug,
07-Aug,
08-Aug,
09-Aug,
10-Aug,
11-Aug,
12-Aug,
13-Aug,
14-Aug,
15-Aug,
16-Aug,
17-Aug,
18-Aug,
19-Aug,
20-Aug,
21-Aug,
22-Aug,
23-Aug,
24-Aug,
25-Aug,
26-Aug,
27-Aug,
28-Aug,
29-Aug,
30-Aug,
31-Aug,
01-Sep,
02-Sep,
03-Sep,
04-Sep,
05-Sep,
06-Sep,
07-Sep,
08-Sep,
09-Sep,
10-Sep,
11-Sep,
12-Sep,
13-Sep,
14-Sep,
15-Sep,
16-Sep,
17-Sep,
18-Sep,
19-Sep,
20-Sep,
21-Sep,
22-Sep,
23-Sep,
24-Sep,
25-Sep,
26-Sep,
27-Sep,
28-Sep,
29-Sep,
30-Sep,
01-Oct,
02-Oct,
03-Oct,
04-Oct,
05-Oct,
06-Oct,
07-Oct,
08-Oct,
09-Oct,
10-Oct,
11-Oct,
12-Oct,
13-Oct,
14-Oct,
15-Oct,
16-Oct,
17-Oct,
18-Oct,
19-Oct,
20-Oct,
21-Oct,
22-Oct,
23-Oct,
24-Oct,
26-Oct,
27-Oct,
28-Oct,
29-Oct,
30-Oct,
31-Oct,
01-Nov,
02-Nov,
03-Nov,
04-Nov,
05-Nov,55
06-Nov,55
07-Nov,55
08-Nov,55
09-Nov,55
10-Nov,55
11-Nov,55
12-Nov,55
13-Nov,55
14-Nov,55
15-Nov,55
16-Nov,55
17-Nov,55
18-Nov,55
19-Nov,55
20-Nov,55
21-Nov,55
22-Nov,55
23-Nov,55
24-Nov,55
25-Nov,55
26-Nov,55
27-Nov,55
28-Nov,55
29-Nov,55
30-Nov,55
01-Dec,55
02-Dec,55
03-Dec,
04-Dec,
05-Dec,
06-Dec,
07-Dec,
08-Dec,
09-Dec,
10-Dec,
11-Dec,
12-Dec,
13-Dec,
14-Dec,
15-Dec,
16-Dec,
17-Dec,
18-Dec,
19-Dec,
20-Dec,55
21-Dec,55
22-Dec,55
23-Dec,55
24-Dec,55
25-Dec,55
26-Dec,55
27-Dec,55
28-Dec,55
29-Dec,55
30-Dec,55
31-Dec,55
